Name ,Cuisine ,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
Marrakesh,Mediterranean,$$,3.9,No
Pera Turkish Cuisine,Mediterranean,$$$,3.9,No
Renata's Kitchen,Mediterranean,$$,4.3,Yes
Saad's Halal ,Mediterranean,$,4.3,Yes
Stina Pizzeria,Mediterranean,$$,4.5,No
Suraya Restaurant,Mediterranean,$$,4.3,No
Wah-Gi-Wah,Mediterranean,$$,4.4,No
Zahav,Mediterranean,$$$,4.5,No
Anejo Philadelphia,Mexican,$$,4.3,No
Cafe y Choclate,Mexican,$$,4,No
Casa Mexico,Mexican,$$,4.2,Yes
Don Barriga ,Mexican,$$,4.1,Yes
El Chingon ,Mexican,$$,3.8,No
El Fuerte de Loreto Philly,Mexican,$$,4.1,No
El Mezcal Catina ,Mexican,$$,4.1,Yes
El Purpecheua ,Mexican,$$,4.2,No
El Ray,Mexican,$$,4.1,No
El Vez,Mexican,$$,3.8,Yes
Hi-Lo Taco Co.,Mexican,$$,4.3,No
La Chinesca,Mexican,$$,3.9,No
La Chingonita,Mexican,$,4.1,No
La Cocina Del Cafe,Mexican,$$,4.5,No
La Marqueza ,Mexican,$,4.2,No
Latin Spot,Mexican,$,3.9,Yes
LMNO,Mexican,$$,3.9,No
Loco Pez,Mexican,$$,4.3,No
Los Camaradas,Mexican,$,4,No
Los Gallos,Mexican,$$,4.5,No
Mexican Grill La Guera 2 ,Mexican,$$,4.3,No
Mexico Lindo Y Que Rico Restaurant,Mexican,$$,4.3,No
Mission Taqueria,Mexican,$$,3.9,No
Mole Poblano Restaurant,Mexican,$$,4.1,No
Restaurant Taqueria El Jarocho,Mexican,$,3.8,No
Rosy's Taco Bar,Mexican,$$,4,Yes
South Philly Barbacoa,Mexican,$,4.1,No
Taco Heart,Mexican,$$,4.1,No
Tacos Don Memo,Mexican,$,4.4,No
Tamalex,Mexican,$$,4.3,No
Taqueria La Prima,Mexican,$,4.3,No
Tio Flores,Mexican,$$,4.3,No
Brazas BBQ Chicken,Peruvian,$,4.1,No
Bar 1010,Pizza,$$,4.3,No
Circles and Square,Pizza,$$,4.2,No
Clarkville ,Pizza,$$,4.4,Yes
Emmy Squared Pizza,Pizza,$$,4.3,Yes
In Riva,Pizza,$,4.4,No
Mulherin's Pizza,Pizza,$$,4.3,No
Paulie Gee's Soul City Slice Shop,Pizza,$$$,4.3,No
Pizza Plus South,Pizza,$$,4.2,No
PIZZA Shackamaxon ,Pizza,$$,4.2,Yes
Pizzata Pizzeria,Pizza,$,4,No
Pizzeria Beddia,Pizza,$$,4.7,No
Randazzo's,Pizza,$,4.6,No
SALLY Philadelphia,Pizza,$$,4.1,No
Square Pie,Pizza,$$,4.4,No
Zio's Brick Oven Pizza,Pizza,$,4.1,No
Axis Pizza,Pizza,$,4.3,Yes
Mom-Mom's Kitchen,Polish,$,4.5,No
Antonio's Deli,Sandwiches,$,4.4,No
Cosmi's Deli,Sandwiches,$,3.9,No
Dear Lunchbox,Sandwiches,$,4,No
DiNic's Pork & Beef,Sandwiches,$,4.4,No
Famous 4th Street Deli,Sandwiches,$$$,3.8,Yes
Fu-Wah Mini Market,Sandwiches,$,4.1,No
Gooey Looies,Sandwiches,$,4,No
Hatch & Coop,Sandwiches,$,4.3,No
Huda,Sandwiches,$,4.1,No
John's Roast Pork,Sandwiches,$$,4.5,No
Middle Child ,Sandwiches,$$,4,Yes
Mighty Bread Company,Sandwiches,$$,4,No
OK Hot Chicken,Sandwiches,$$,4.4,Yes
Paesano's ,Sandwiches,$$$,3.9,No
Papi Store,Sandwiches,$,4.5,No
Poe's Sandwich Joint,Sandwiches,$$,4.1,No
Ricci's Hoagies,Sandwiches,$,4.5,No
Salt & Vinegar,Sandwiches,$$$,4,No
Schlesinger's ,Sandwiches,$$,4.6,No
Woodrow's Sandwich Shop,Sandwiches,$$,4.3,No
Amada ,Spanish,$$$,4.4,No
Barceolna Wine Bar,Spanish,$$,4.1,Yes
Oloroso ,Spanish,$$,4.1,No
Alpen Rose,Steakhouse ,$$$,4.2,Yes
Del Frisco's Double Eagle Steakhouse,Steakhouse ,$$$$,4.5,Yes
Malbec Argentine Steakhouse,Steakhouse ,$$$,3.9,No
Circles Thai,Thai,$$,4,No
JJ Thai Cuisine,Thai,$$,4,Yes
Kalaya,Thai,$$$,4,No
Ratchada Thai,Thai,$$,3.9,No
Uzbekistan Restaurant,Uzbeki,$$,3.9,No
Bar Bombon,Vegan,$$,3.9,Yes
Charlie was a sinner,Vegan,$$$,4.2,No
HipCityVeg,Vegan,$,4,No
Monster Vegan,Vegan,$$,4.4,Yes
Vedge,Vegan,$$$,4.3,No
Goldie,Vegan Falafel,$,4.2,No
Ba Le Bakery,Vietnamese,$,4,No
Bistro SouthEast,Vietnamese,$$,4,No
Gabriella's Vietnam ,Vietnamese,$$$,3.9,No
Pho 75,Vietnamese,$,4.1,No
Pho Cali,Vietnamese,$,3.9,No
Pho Ha Saigon ,Vietnamese,$,4.5,Yes
Pho Mi Rittenhouse ,Vietnamese,$,4.1,No
Viet Bistro 2 LLC,Vietnamese,$,4.5,No
Rose Bank Winery,Vineyard,$$,4,No
John's Water Ice,Water Ice,$,4.1,No
Kilamandjaro/Youma ,West African,$$,4.4,Yes
Five Guys,Fast Food,$,3.3,Yes
Masala Kitchen,Indian,$,5,Yes
