Name ,Cuisine ,Delivery,Takeout,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
Vientiane Cafe,Asian ,Yes,Yes,$$,4.6,
Viet Bistro 2 LLC,Vietnamese,Yes,Yes,$,4.5,
Village Whiskey,Gastropub,Yes,Yes,$$,4.2,
Virasat Haveli,Indian,Yes,Yes,$$,4.4,
Wah-Gi-Wah,Mediterranean,Yes,Yes,$$,4.4,
Weckerly's Ice Cream,Ice Cream,Yes,Yes,$,4,
White Dog Cafe,American,Yes,Yes,$$$,4.2,
Wilder,American,Yes,Yes,$$,4,
Winkel,Brunch,No,Yes,$$,3.9,
Wm. Mulherin's Sons,Italian ,Yes,Yes,$$$,4,
Woodrow's Sandwich Shop,Sandwiches,Yes,Yes,$$,4.3,
Woody's,Club,No,No,$$,4.5,
Writer's Block Rehab,Cocktails,No,No,$$,4.4,
Xing Wang,Chinese ,Yes,Yes,$,4.6,
Yakitori Boy,Japanese,Yes,Yes,$$,3.6,
Yards Brewing Company,Brewery,Yes,Yes,$$,4.3,
Yi Pin Restaurant,Chinese,Yes,Yes,$$,4.3,
Young American Hard Cider & Tasting Room,Cocktails,No,Yes,$,4.2,
Zahav,Mediterranean,No,No,$$$,4.5,
Zama,Japanese,Yes,No,$$,4.1,
Zig Zag BBQ,Barbeque,Yes,Yes,$$,4.6,
Zio's Brick Oven Pizza,Pizza,Yes,Yes,$,4.1,
Chick-fil-A,Fast Food,Yes,Yes,$,4.3,
McDonald's,Fast Food,Yes,Yes,$,4.4,
Subway,Fast Food,Yes,Yes,$,3.8,
Dunkin',Coffee/Donuts,Yes,Yes,$,4.6,
Crown Fried Chicken,Fast Food,Yes,Yes,$,4,
Pelicana,Fast Food,Yes,Yes,$$,4.5,
Axis Pizza,Pizza,Yes,Yes,$,4.3,
Donut Plus,Donuts,No,Yes,$,4.1,
Raising Cane's,Chicken Fingers,Yes,Yes,$,4.1,
Goldie,Vegan Falafel,Yes,Yes,$,4.2,
